"Date","Currency","Mean","Buy","Sell"
"08/07/2021","US DOLLAR","107.9500","107.8500","108.0500"
"07/07/2021","US DOLLAR","107.9500","107.8500","108.0500"
"06/07/2021","US DOLLAR","107.9500","107.8500","108.0500"
"05/07/2021","US DOLLAR","107.9441","107.8441","108.0441"
"02/07/2021","US DOLLAR","107.9529","107.8529","108.0529"
"01/07/2021","US DOLLAR","107.9206","107.8206","108.0206"
"30/06/2021","US DOLLAR","107.8500","107.7500","107.9500"
"29/06/2021","US DOLLAR","107.7824","107.6824","107.8824"
"28/06/2021","US DOLLAR","107.7500","107.6500","107.8500"
"25/06/2021","US DOLLAR","107.7529","107.6529","107.8529"
"24/06/2021","US DOLLAR","107.7706","107.6706","107.8706"
"23/06/2021","US DOLLAR","107.7971","107.6971","107.8971"
"22/06/2021","US DOLLAR","107.8000","107.7000","107.9000"
"21/06/2021","US DOLLAR","107.8000","107.7000","107.9000"
"18/06/2021","US DOLLAR","107.8000","107.7000","107.9000"
"17/06/2021","US DOLLAR","107.7971","107.6971","107.8971"
"16/06/2021","US DOLLAR","107.7706","107.6706","107.8706"
"15/06/2021","US DOLLAR","107.7935","107.6935","107.8935"
"14/06/2021","US DOLLAR","107.8006","107.7006","107.9006"
"11/06/2021","US DOLLAR","107.9000","107.8000","108.0000"
"10/06/2021","US DOLLAR","107.9029","107.8029","108.0029"
"09/06/2021","US DOLLAR","107.9500","107.8500","108.0500"
"08/06/2021","US DOLLAR","107.9000","107.8000","108.0000"
"07/06/2021","US DOLLAR","107.8382","107.7382","107.9382"
"04/06/2021","US DOLLAR","107.7997","107.7000","107.8994"
"03/06/2021","US DOLLAR","107.7324","107.6324","107.8324"
"02/06/2021","US DOLLAR","107.6941","107.5941","107.7941"
"31/05/2021","US DOLLAR","107.5912","107.4912","107.6912"
"28/05/2021","US DOLLAR","107.5382","107.4382","107.6382"
"27/05/2021","US DOLLAR","107.5735","107.4735","107.6735"
"26/05/2021","US DOLLAR","107.7353","107.6353","107.8353"
"25/05/2021","US DOLLAR","108.0235","107.9235","108.1235"
"24/05/2021","US DOLLAR","108.2382","108.1382","108.3382"
"21/05/2021","US DOLLAR","108.2294","108.1294","108.3294"
"20/05/2021","US DOLLAR","107.9235","107.8235","108.0235"
"19/05/2021","US DOLLAR","107.5224","107.4224","107.6224"
"18/05/2021","US DOLLAR","107.2824","107.1824","107.3824"
"17/05/2021","US DOLLAR","107.1735","107.0735","107.2735"
"13/05/2021","US DOLLAR","107.0235","106.9235","107.1235"
"12/05/2021","US DOLLAR","106.7971","106.6971","106.8971"
"11/05/2021","US DOLLAR","106.5382","106.4382","106.6382"
"10/05/2021","US DOLLAR","106.7353","106.6353","106.8353"
"07/05/2021","US DOLLAR","106.8588","106.7588","106.9588"
"06/05/2021","US DOLLAR","106.9794","106.8794","107.0794"
"05/05/2021","US DOLLAR","107.2559","107.1559","107.3559"
"04/05/2021","US DOLLAR","107.7147","107.6147","107.8147"
"03/05/2021","US DOLLAR","107.8441","107.7441","107.9441"
"30/04/2021","US DOLLAR","107.8441","107.7441","107.9441"
"29/04/2021","US DOLLAR","107.8382","107.7382","107.9382"
"28/04/2021","US DOLLAR","107.8471","107.7471","107.9471"
"27/04/2021","US DOLLAR","108.1000","108.0000","108.2000"
"26/04/2021","US DOLLAR","108.5353","108.4353","108.6353"
"23/04/2021","US DOLLAR","108.5265","108.4265","108.6265"
"22/04/2021","US DOLLAR","108.4206","108.3206","108.5206"
"21/04/2021","US DOLLAR","108.1118","108.0118","108.2118"
"20/04/2021","US DOLLAR","107.9488","107.8488","108.0488"
"19/04/2021","US DOLLAR","107.4929","107.3929","107.5929"
"16/04/2021","US DOLLAR","107.0600","106.9600","107.1600"
"15/04/2021","US DOLLAR","106.8059","106.7059","106.9059"
"14/04/2021","US DOLLAR","106.8971","106.7971","106.9971"
"13/04/2021","US DOLLAR","107.1000","107.0000","107.2000"
"12/04/2021","US DOLLAR","107.2882","107.1882","107.3882"
